trigger_id,initiating_owner_key,decision_owner_key,trigger_family,trigger_name,admission_event,movement_class,principal_selector_rule,required_or_possible_named_roles,aggregate_profile_candidate,origin_rule,destination_rule,timing_rule,host_or_receiver_rule,completion_disposition,matter_if,downstream_effects,journey_service_is_execution_owner,source_candidate_only,runtime_authority,authority_boundary
JRN-011,courtos.responsibility.marriage_dynasty_stewardship,courtos.responsibility.marriage_dynasty_stewardship,marriage,Marriage ceremony attendance,A recognized marriage contract reaches its admitted ceremony month and required approvals remain valid.,named_journey,travelling_spouse_or_primary_house_party,both spouses if travelling; guardian/HoH representative where required; close kin selected for attendance; chaplain/witness only when named and required,ceremonial_retinue,actual_admitted_presence_at_departure_cutpoint,contracted venue church and hosting location,contracted ceremony month after route feasibility,venue Church and host acceptance required,return_or_onward,"death, disqualifying health, superseding authority event, route failure, or recognition failure",ceremony/union evidence; hosting/material burden; ART review; residence handoff,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-012,service.marriage_lifecycle_marketplace_service,courtos.responsibility.marriage_dynasty_stewardship,marriage,Post-union residence transfer,The union is admitted and one or both spouses must move to the contracted residence.,named_journey,spouse_changing_residence,spouse; accompanying dependants; escort; household transfer participants named in the contract,household_transfer,actual_admitted_presence_at_departure_cutpoint,contracted marital residence,same or next feasible month after ceremony in sequence,receiving Household accountability must exist,remain,contracted residence or safe route is unavailable,immediate residence change on arrival; Household support; fertility eligibility; ART evidence,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-013,courtos.responsibility.patronage_hospitality_gifts,courtos.responsibility.patronage_hospitality_gifts,social_visit,"Accepted outbound hospitality, kin, patronage, or courtesy visit",A named invitation/request is accepted by visitor and host within authority and policy bounds.,named_journey,named_visitor_or_house_representative,principal visitor; spouse/kin invited by name; representative; chaplain or companion when purpose requires,small_noble_retinue,actual_admitted_presence_at_departure_cutpoint,"accepted host residence, court, or institution",accepted visit window,accepted Hosting/Visit Arrangement required,return_or_onward,"host capacity, route, support, timing, or authority fails",actual guest person-days; Food/Goods/HSU; exceptional Coin only through gateway; Knowledge and ART evidence,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-014,courtos.responsibility.patronage_hospitality_gifts,courtos.responsibility.patronage_hospitality_gifts,social_visit,Host acceptance of an incoming named visit,Another party proposes a visit and House policy cannot or should not resolve it automatically.,host_binding_only,no_host_travel_principal,host decision-maker; receiving officer only as responsibility context,not_applicable,actual_admitted_presence_at_departure_cutpoint,host's admitted receiving location,before visitor departure or qualified en-route request,"accept, limit, redirect, or refuse; no arrival is presumed",host_binding_result,"request exceeds authority, lodging, stores, security, or schedule bounds",Hosting/Visit Arrangement or refusal; no person-days until arrival,False,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-015,courtos.responsibility.patronage_hospitality_gifts,courtos.responsibility.patronage_hospitality_gifts,social_visit,"External hunt, honour, feast, or patronage appearance",A named occasion at another location is accepted as materially consequential attendance.,named_journey,invited_or_sponsoring_principal,principal; selected kin; honouree; chaplain/representative where required,ceremonial_retinue,actual_admitted_presence_at_departure_cutpoint,accepted occasion location,occasion window,host/venue acceptance required,return_or_onward,"occasion, host, route, or support becomes unavailable",hosting/material burden; public/relationship evidence; ART contribution,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-016,courtos.responsibility.manor_stewardship,courtos.responsibility.manor_stewardship,estate_presence,Personal or commissioned manor inspection,The HoH or scoped owner selects an in-person inspection rather than an admitted remote report.,named_journey,selected_inspector,"HoH, owner, or commissioned inspector; local operator joins at destination but does not travel unless summoned",inspection_party,actual_admitted_presence_at_departure_cutpoint,exact manor instance,scheduled month in the next three-year cycle,House-controlled destination needs no external host; lodging/support must still be feasible,return_or_onward,"route, presence, inspection authority, or local reception fails",knowledge-quality upgrade; instructions effective at visit; absence/PAS; manor report; possible ART evidence,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-017,courtos.responsibility.manor_stewardship,courtos.responsibility.manor_stewardship,estate_presence,In-person operator conference,The authority chooses to summon the operator or travel to the operator rather than use correspondence.,named_journey,party_selected_to_travel,HoH/owner or local operator; clerk/supporter if required,individual_or_light_party,actual_admitted_presence_at_departure_cutpoint,selected House seat or manor,scheduled review month,receiving House-controlled site must have lodging/support,return,"summons, route, or responsibility coverage makes attendance infeasible",direct report/Knowledge; instructions; origin coverage interruption; possible ART evidence,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-018,courtos.responsibility.manor_stewardship,courtos.responsibility.manor_stewardship,estate_presence,Routine local manor operation,The resident operator performs customary work and reports without a selected external visit.,local_or_remote_no_journey,resident_operator,owner and supporters at their admitted work location,not_applicable,actual_admitted_presence_at_departure_cutpoint,current manor,continuous/annual,not_applicable,local_work_or_report,operator is absent or undercovered,"manor operation, report, matter; no travel",False,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-019,courtos.responsibility.estate_fabric_maintenance_oversight,courtos.responsibility.estate_fabric_maintenance_oversight,estate_presence,Commissioned estate-condition inspection,A condition/maintenance question requires a named physical inspection rather than existing evidence.,named_journey,commissioned_inspector,owner or supporter; specialist if already named and actually assigned,inspection_party,actual_admitted_presence_at_departure_cutpoint,exact admitted asset/location,scheduled inspection window,external/institutional site acceptance where House control is absent,return_or_onward,"access, route, authority, or evidence need is not admitted",condition evidence; maintenance priority; Knowledge; PAS/presence,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-020,courtos.responsibility.estate_fabric_maintenance_oversight,courtos.responsibility.estate_fabric_maintenance_oversight,estate_presence,Routine multi-site condition circuit,One owner/supporter covers more than one admitted estate location.,derived_service_mobility,assigned_owner_or_supporter,owner; assigned support,light_service_circuit,actual_admitted_presence_at_departure_cutpoint,assigned asset/location portfolio,annual derived itinerary,external access only where the portfolio includes it,coverage_completed_or_undercovered,travel load or incompatible presence makes coverage infeasible,annual mobility/PAS load and coverage confidence,False,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-021,courtos.responsibility.works_project_supervision,courtos.responsibility.works_project_supervision,project,"Project mobilization, inspection, variance review, or handover",An accepted project reaches a stage requiring the named supervisor or competent delegate to be physically present.,named_journey,project_supervisor_or_delegate,supervisor; commissioned specialist if already named; appointing authority only when retained,inspection_party,actual_admitted_presence_at_departure_cutpoint,accepted project site,project milestone window,site access and project authority required,return_or_onward,"stage, route, access, or coverage is blocked",project evidence; instructions; completion/variance recommendation; PAS/presence,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-022,courtos.responsibility.works_project_supervision,courtos.responsibility.works_project_supervision,project,"Project material, labor, and equipment delivery",The project gateway accepts a qualified resource or service request.,background_transport,no_named_principal_by_default,named custodian only when an admitted office requires it,project_freight,actual_admitted_presence_at_departure_cutpoint,accepted project site and custody point,project schedule window,site custody acceptance; not hospitality,delivered_or_failed,"route, supplier, labor, capacity, or custody fails",material/labor gateway receipts; fees; project schedule evidence,False,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-023,courtos.responsibility.franchise_operations,courtos.responsibility.franchise_operations,facility_operation,Routine facility/franchise circuit,An accountable owner/supporter covers multiple exact operating sites.,derived_service_mobility,assigned_operator_or_supervisor,owner; support; named local operator remains local,light_service_circuit,actual_admitted_presence_at_departure_cutpoint,exact operating package sites,annual derived itinerary,right/access basis controls entry,coverage_completed_or_undercovered,multi-site travel makes operation or oversight infeasible,facility coverage/PAS; route load; operating report,False,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-024,courtos.responsibility.franchise_operations,courtos.responsibility.franchise_operations,facility_operation,Exceptional franchise-site response or inspection,"A qualified access, custody, crowd, right, or operating Matter requires named presence.",named_journey,competent_operator_or_delegate,"owner, operator, or delegate; security/fiscal participant only if separately required",inspection_party,actual_admitted_presence_at_departure_cutpoint,exact facility/right location,matter deadline/window,right/access and receiving control required,return_or_onward,"authority, route, access, or support fails",operating/right evidence; Matter disposition; PAS/presence; possible ART,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-025,courtos.responsibility.portfolio_oversight,courtos.responsibility.portfolio_oversight,estate_presence,Multi-stop lordly progress or commissioned portfolio review,The HoH or portfolio owner admits one itinerary spanning compatible site purposes.,named_journey,selected_principal_or_inspector,HoH/portfolio owner or commissioned delegate; selected clerk/supporter,progress_retinue,actual_admitted_presence_at_departure_cutpoint,ordered exact portfolio locations,one scheduled itinerary window,each external/third-party stop needs access/host acceptance,return_or_onward,a required stop or route breaks the admitted purpose,deduplicated site visits; Knowledge; instructions; PAS/presence; hosting at non-owned stops,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-026,courtos.responsibility.portfolio_oversight,courtos.responsibility.portfolio_oversight,estate_presence,Delegated portfolio coverage circuit,Assigned coverage implies routine travel among multiple locations without a selected player-facing progress.,derived_service_mobility,portfolio_owner_or_supporter,owner and assigned support,light_service_circuit,actual_admitted_presence_at_departure_cutpoint,exact portfolio locations,annual derived itinerary,access basis from each constituent assignment,coverage_completed_or_undercovered,route load conflicts with coverage or other commitments,PAS/presence load; synthesized coverage confidence,False,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-027,courtos.responsibility.house_fiscal_administration,courtos.responsibility.house_fiscal_administration,fiscal_custody,"Named treasury, custody, or audit visit","A material discrepancy, handover, or retained review requires the competent fiscal actor at another custody node.",named_journey,competent_fiscal_actor,fiscal owner/supporter; custody officer; HoH only when retained,protected_fiscal_visit,actual_admitted_presence_at_departure_cutpoint,exact treasury/custody node,matter deadline/window,custodian access and security support required,return_or_onward,"custody, access, route, or authority fails",fiscal evidence; discrepancy/handover result; PAS/presence; possible integrity/ART evidence,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-028,courtos.responsibility.house_fiscal_administration,courtos.responsibility.house_fiscal_administration,fiscal_custody,"Coin, treasure, or remittance movement",An admitted fiscal instrument requires physical transfer between custody nodes.,background_transport,no_named_noble_by_default,named custodian/escort commander only if an admitted post actually fills that role,treasure_convoy,actual_admitted_presence_at_departure_cutpoint,exact receiving treasury/custody node,instrument due window,receiving custody and security acceptance required,delivered_or_failed,"custody, route, fee, security, or reconciliation fails",balanced Coin/custody/remittance receipt; no automatic noble presence,False,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-029,courtos.responsibility.manor_fiscal_administration,courtos.responsibility.manor_fiscal_administration,fiscal_custody,Routine manor fiscal circuit,One fiscal owner/supporter covers multiple manor instances.,derived_service_mobility,assigned_fiscal_actor,owner and support,light_service_circuit,actual_admitted_presence_at_departure_cutpoint,assigned manor fiscal instances,annual derived itinerary,House-controlled access unless an instrument says otherwise,coverage_completed_or_undercovered,route load conflicts with fiscal deadlines or custody,PAS/presence; local book and reconciliation confidence,False,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-030,courtos.responsibility.manor_fiscal_administration,courtos.responsibility.manor_fiscal_administration,fiscal_custody,Manor-to-House remittance,The House fiscal authority issues or standing policy schedules an exact treasury transfer from a manor custody node.,background_transport,no_named_noble_by_default,named custodian/escort only when the admitted service post requires it,treasure_convoy,actual_admitted_presence_at_departure_cutpoint,House treasury/custody node,authorized demand/due window,origin and destination custody plus security route required,delivered_or_failed,"funds are unavailable, skimmed/lost, delayed, or custody fails",balanced Coin/custody receipt; manor and House reconciliation; possible loss/skimming Matter,False,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-031,courtos.responsibility.revenue_right_administration_collection,courtos.responsibility.revenue_right_administration_collection,right_collection,Routine collection and administration circuit,One owner/supporter administers multiple collection points or rights requiring periodic physical rounds.,derived_service_mobility,assigned_collector_or_administrator,owner/support; local collector remains at admitted site,collection_circuit,actual_admitted_presence_at_departure_cutpoint,exact right/collection locations,annual obligation/calendar,right and access basis required,coverage_completed_or_undercovered,"travel load, resistance, access, or custody blocks collection",PAS/presence; collection confidence; grievance/exception evidence,False,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-032,courtos.responsibility.revenue_right_administration_collection,courtos.responsibility.revenue_right_administration_collection,right_collection,Collected revenue delivery,An admitted right produces a due resource or Coin transfer to its beneficiary/custody node.,background_transport,no_named_noble_by_default,named collector/custodian only if the admitted post requires it,freight_or_treasure_delivery,actual_admitted_presence_at_departure_cutpoint,exact beneficiary/custody destination,instrument due window,beneficiary/custody acceptance required,delivered_or_failed,"collection, route, custody, remittance, or reconciliation fails",resource/Coin delivery; fee; right performance; grievance/arrear evidence,False,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-033,courtos.responsibility.reception_intake,courtos.responsibility.reception_intake,intake,Incoming named-person reception,A named visitor physically arrives under an admitted Journey/Hosting Arrangement.,host_binding_only,no_new_principal_created,receiving officer is local; arriving named party comes from its existing manifest,not_applicable,actual_admitted_presence_at_departure_cutpoint,admitted receiving location,actual arrival cutpoint,"validate arrangement, identity/evidence, and route to host/authority",received_redirected_or_refused,"arrival is unexpected, identity doubtful, or authority/capacity exceeded",arrival/intake/Knowledge receipt; no duplicate journey or person-days,False,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-034,courtos.responsibility.reception_intake,courtos.responsibility.reception_intake,intake,"Messenger, item, petition, or oral report intake",A carried item or messenger reaches an admitted clearinghouse/channel.,local_or_remote_no_journey,messenger_movement_owned_elsewhere,receiving officer; messenger identity only if already named and material,not_applicable,actual_admitted_presence_at_departure_cutpoint,reception channel,delivery arrival cutpoint,intake preserves provenance and routes substance,received_returned_or_escalated,"custody, authenticity, recipient, or handling bounds fail",message/item intake and routing; no new travel generated,False,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-035,courtos.responsibility.records_archives,courtos.responsibility.records_archives,records,External archive or physical evidence search,A material question cannot be cured by available House/Church correspondence and competent access is admitted.,named_journey,assigned_records_actor_or_competent_delegate,records owner/supporter; Church/legal custodian remains local; witness only if required,individual_or_light_party,actual_admitted_presence_at_departure_cutpoint,"exact archive, church, institution, or custody location",case/decision deadline window,custodian access/appointment required,return,"access, route, authority, or record existence is unresolved",record-search result; provenance/Knowledge; PAS/presence; possible dispute referral,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-036,courtos.responsibility.records_archives,courtos.responsibility.records_archives,records,Local or correspondence-based record review,The required records are local or can be requested through admitted correspondence.,local_or_remote_no_journey,records_owner_or_supporter,owner/supporter at admitted work location,not_applicable,actual_admitted_presence_at_departure_cutpoint,local archive or remote correspondence source,ordinary review window,source/custodian response may be required,report_or_unresolved,"record is missing, conflicting, or inaccessible",Knowledge-safe record report; no travel,False,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-037,courtos.responsibility.correspondence_dispatch,courtos.responsibility.correspondence_dispatch,dispatch,Ordinary or dedicated dispatch,A substantive owner authorizes a written/oral message or formal notice and a delivery path is admitted.,background_transport,no_named_noble_by_default,named messenger only when an existing named person is explicitly assigned; otherwise courier/carrier aggregate,courier_dispatch,actual_admitted_presence_at_departure_cutpoint,exact recipient channel/location,deadline and route window,recipient acceptance not required for dispatch but delivery must be evidenced,delivered_returned_delayed_or_lost,"deadline, custody, route, authenticity, or recipient fails",dispatch/delivery/Knowledge receipt; possible fee; no automatic audience or ART,False,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-038,courtos.responsibility.correspondence_dispatch,courtos.responsibility.external_relations_representation,dispatch,Named envoy or representative,"A message purpose requires personal representation, audience, or negotiation rather than carriage alone.",named_journey,appointed_representative,representative; clerk/interpreter/chaplain only when purpose requires; escort as needed,individual_or_small_retinue,actual_admitted_presence_at_departure_cutpoint,"accepted recipient House, court, Church institution, or polity setting",purpose deadline/window,audience/host acceptance required unless competent summons compels appearance,return_or_onward,"authority, audience, route, or report-back path fails",representation result; report; Knowledge; hospitality; ART evidence,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-039,courtos.responsibility.security_asset_protection,courtos.responsibility.security_asset_protection,security,"Protected person, asset, or custody transfer",A competent instrument orders a transfer requiring named protective command or named subjects.,named_journey,protected_subject_or_escort_commander,protected person; custodian; escort commander; named officer; required witness/handover party,protected_transfer,actual_admitted_presence_at_departure_cutpoint,exact receiving custody/security location,instrument effective window,receiving custody and safe route required,remain_return_or_onward,"authority, custody, escort, route, or handover fails",custody/presence/security result; absence; support; Knowledge and ART evidence,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
